	litmus7 user	PerpLE (Checker)	PerpLE (Heuristic)	litmus7 Timebase	litmus7 Userfence 	litmus7 None 	litmus7 Pthread
amd10	1.0	0.0198926765565	3.5904300677	0.6	1.0	3.0	0.0882352941176
amd3	1.0	0.012535891511	3.54043396869	0.5	1.0	2.0	0.0512820512821
amd5	1.0	0.0187139554014	3.28728756589	0.6	1.0	3.0	0.0833333333333
amd5+staleld	1.0	0.0182967136705	2.90435241412	0.75	1.0	3.0	0.0810810810811
co-iriw	1.0	0.0150444601786	2.7175906928	0.5	1.0	3.0	0.0434782608696
iriw	1.0	0.0187631064403	3.68617842824	0.5	1.0	3.0	0.0441176470588
iwp23b	1.0	6.44855504003	6.46628720338	0.5	1.0	2.0	0.0512820512821
iwp24	1.0	0.0192550457085	4.35942911823	0.75	1.0	3.0	0.075
lb	1.0	0.0131296658688	2.2298197135	0.5	0.666666666667	2.0	0.0487804878049
mp	1.0	2.09346044825	2.09950719317	0.5	1.0	2.0	0.0512820512821
mp+fences	1.0	2.10299082097	2.10985041688	0.5	0.666666666667	2.0	0.0512820512821
mp+staleld	1.0	3.00883091875	3.01850570384	0.5	1.0	2.0	0.0540540540541
n1	1.0	0.00907599881316	1.75039307264	0.4	1.0	2.0	0.0344827586207
n4	1.0	0.0120590023227	2.45954660718	0.5	1.0	2.0	0.0540540540541
n5	1.0	0.0125704734525	2.34949571011	0.5	1.0	2.0	0.0555555555556
podwr000	1.0	0.0126649678554	2.86598441908	0.5	1.0	2.0	0.0606060606061
podwr001	1.0	1.36253304284e-06	2.18583893318	0.4	1.0	2.0	0.0408163265306
rfi009	1.0	0.0110088130007	2.36558872702	0.4	0.666666666667	2.0	0.0606060606061
rfi013	1.0	0.0122433339607	5.2653841361	0.75	1.0	3.0	0.0833333333333
rfi015	1.0	0.00931542779558	1.93736311319	0.4	1.0	2.0	0.0392156862745
rfi017	1.0	0.0150719987496	3.8765399555	0.75	1.0	3.0	0.075
rwc-fenced	1.0	0.0182005490839	2.46569499106	0.6	1.5	3.0	0.06
rwc-unfenced	1.0	0.0115067460586	1.73859676117	0.5	1.0	2.0	0.0344827586207
safe006	1.0	0.0214294582255	3.8107069433	0.75	1.0	3.0	0.0810810810811
safe007	1.0	2.68316752824e-06	1.01476019441	0.6	1.0	3.0	0.0612244897959
safe012	1.0	0.0180687783168	3.1130035867	0.6	1.0	3.0	0.0508474576271
safe018	1.0	0.0107505556895	1.89149084471	0.4	1.0	2.0	0.0363636363636
safe022	1.0	2.06659178716	2.07231981697	0.5	1.0	2.0	0.0526315789474
safe024	1.0	0.0187660783067	2.77158149674	0.5	1.0	3.0	0.0576923076923
safe027	1.0	0.0190581973152	3.60672509962	0.428571428571	1.0	3.0	0.047619047619
safe028	1.0	0.011968590469	1.60379136278	0.4	0.666666666667	2.0	0.0384615384615
safe036	1.0	0.0193988507597	2.5538522307	0.6	1.0	3.0	0.0810810810811
sb	1.0	0.0135679133286	3.14859478215	0.5	1.0	2.0	0.046511627907
wrc	1.0	0.0123404881993	1.86812704385	0.4	0.666666666667	2.0	0.0384615384615
Geomean	1.0	0.0186415410821	2.6643138494	0.521096137491	0.953418075479	2.39175844367	0.0542141855519
