	PerpLE (Checker)	PerpLE (Heuristic)	litmus7 Timebase 	litmus7 User 	litmus7 Userfence 	litmus7 Pthread 	litmus7 None
amd10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amd3	81394.0	508.1	0.1	0.0	0.0	0.0	0.0
amd5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amd5+staleld	0.0	0.0	0.0	0.0	0.0	0.0	0.0
co-iriw	0.0	0.0	0.0	0.0	0.0	0.0	0.0
iriw	0.0	0.0	0.0	0.0	0.0	0.0	0.0
iwp23b	0.0	0.0	10000.0	10000.0	10000.0	10000.0	10000.0
iwp24	1558.6	1394.2	2018.2	0.4	305.6	1289.8	0.0
lb	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mp	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mp+fences	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mp+staleld	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n1	1.5	0.1	0.0	0.0	0.0	0.0	0.0
n4	387.9	0.0	0.0	0.0	0.0	0.0	0.0
n5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
podwr000	126632.9	4688.1	2615.0	0.6	5.4	1100.6	0.0
podwr001	6791663.0	6529.0	926.6	7.8	2.0	334.0	0.0
rfi009	108.9	82.5	0.1	0.0	0.4	220.8	1.0
rfi013	18827.9	1281.7	1991.5	0.2	121.6	1427.8	25.2
rfi015	295.0	295.0	1.9	0.0	0.8	158.6	0.0
rfi017	1661.6	823.3	165.1	0.0	0.0	145.2	0.0
rwc-fenced	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rwc-unfenced	875.1	91.5	0.2	0.0	0.2	86.8	0.0
safe006	0.0	0.0	0.0	0.0	0.0	0.0	0.0
safe007	0.0	0.0	0.0	0.0	0.0	0.0	0.0
safe012	0.0	0.0	0.0	0.0	0.0	0.0	0.0
safe018	0.0	0.0	0.0	0.0	0.0	0.0	0.0
safe022	0.0	0.0	0.0	0.0	0.0	0.0	0.0
safe024	0.0	0.0	0.0	0.0	0.0	0.0	0.0
safe027	0.0	0.0	0.0	0.0	0.0	0.0	0.0
safe028	0.0	0.0	0.0	0.0	0.0	0.0	0.0
safe036	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sb	128239.3	4730.8	1951.1	0.6	67.6	226.6	0.0
wrc	0.0	0.0	0.0	0.0	0.0	0.0	0.0
