	litmus7 user	PerpLE (Checker)	PerpLE (Heuristic)	litmus7 Timebase	litmus7 Userfence 	litmus7 None 	litmus7 Pthread
amd10	1.0	0.0196150950815	3.33587786684	0.666666666667	1.0	3.0	0.0833333333333
amd3	1.0	0.0119928862037	10.8708649947	0.5	1.0	2.0	0.0487804878049
amd5	1.0	0.0193409679913	2.69778228807	0.75	1.0	3.0	0.0882352941176
amd5+staleld	1.0	0.0182967136705	2.90435241412	0.75	1.0	3.0	0.0810810810811
co-iriw	1.0	0.0152838736128	17.5931410208	0.545454545455	1.0	3.0	0.0454545454545
iriw	1.0	0.0198046767714	18.5020151778	0.461538461538	1.0	3.0	0.0461538461538
iwp23b	1.0	14.7908755089	14.9347352071	0.5	1.0	2.0	0.05
iwp24	1.0	0.0192550457085	4.35942911823	0.75	1.0	3.0	0.0697674418605
lb	1.0	0.0134480275709	13.1304676088	0.5	0.666666666667	2.0	0.0512820512821
mp	1.0	10.4195700364	10.6955875354	0.5	1.0	2.0	0.05
mp+fences	1.0	2.20462806547	2.21474009194	0.444444444444	0.666666666667	2.0	0.0555555555556
mp+staleld	1.0	8.86509104449	9.06899921326	0.5	1.0	2.0	0.0540540540541
n1	1.0	0.0088004304625	8.19798124712	0.444444444444	1.0	2.0	0.0357142857143
n4	1.0	0.0130425784789	10.5109366296	0.5	1.0	2.0	0.0512820512821
n5	1.0	0.0136898352617	12.5872453443	0.5	1.0	2.0	0.047619047619
podwr000	1.0	0.0128709003327	13.2735140301	0.5	1.0	2.0	0.0454545454545
podwr001	1.0	1.4098395933e-06	8.75731509477	0.363636363636	1.0	2.0	0.04
rfi009	1.0	0.0104874290099	6.00221181505	0.5	0.666666666667	2.0	0.0540540540541
rfi013	1.0	0.0122940434229	15.5728876027	0.666666666667	1.0	3.0	0.0833333333333
rfi015	1.0	0.00978721297297	1.97617523141	0.363636363636	1.0	2.0	0.0392156862745
rfi017	1.0	0.0151987761682	8.81379535249	0.75	1.0	3.0	0.0789473684211
rwc-fenced	1.0	0.0189526402675	8.94294401717	0.6	1.5	3.0	0.0526315789474
rwc-unfenced	1.0	0.013200588741	11.2611978536	0.4	1.0	2.0	0.037037037037
safe006	1.0	0.0205673851175	21.754737094	0.75	1.0	3.0	0.0909090909091
safe007	1.0	4.23489189552e-06	1.74555153465	0.6	1.0	3.0	0.0545454545455
safe012	1.0	0.0157997379424	15.8726799433	0.6	1.0	3.0	0.0612244897959
safe018	1.0	0.0113374855192	12.5645898447	0.4	1.0	2.0	0.0338983050847
safe022	1.0	10.6970748849	10.8460752121	0.5	1.0	2.0	0.0571428571429
safe024	1.0	0.0195691539606	7.29690878621	0.6	1.0	3.0	0.0588235294118
safe027	1.0	0.0183447457066	17.9107685511	0.5	1.0	3.0	0.0441176470588
safe028	1.0	0.0116455270315	5.88701060545	0.4	0.666666666667	2.0	0.037037037037
safe036	1.0	0.0198362015737	3.24340979672	0.666666666667	1.0	3.0	0.0810810810811
sb	1.0	0.0133757828068	13.5875565157	0.5	1.0	2.0	0.0645161290323
wrc	1.0	0.0124746013608	12.0556730984	0.444444444444	0.666666666667	2.0	0.0377358490566
Geomean	1.0	0.0222256786211	8.20101421975	0.529778639597	0.953418075479	2.39175844367	0.0539826801651
