	litmus7	PerpLE (Checker)	PerpLE (Heuristic)
amd10	0.006	0.322146416	0.002343498
amd3	0.004	0.283150612	0.00130663
amd5	0.004	0.31832009	0.001821726
amd5+staleld	0.004	0.285345576	0.001876044
co-iriw	0.003333333	0.378330497	0.001878746
iriw	0.006	0.263563166	0.001482433
iwp23b	0.002	0.000632587	0.000634659
iwp24	0.004	0.299394849	0.000946483
lb	0.006	0.296031184	0.001285918
mp	0.004	0.002230368	0.002217931
mp+fences	0.004	0.001998089	0.00198802
mp+staleld	0.004	0.00221711	0.00220197
n1	0.004	0.463259194	0.002089558
n4	0.002	0.36308256	0.001708797
n5	0.004	0.300170896	0.001566824
podwr000	0.002	0.297539213	0.001199021
podwr001	0.004	2945.5030404	0.001714184
rfi009	0.006	0.383979544	0.001631351
rfi013	0.004	0.475766385	0.00151502
rfi015	0.004	0.354684018	0.00098289
rfi017	0.01	0.386856169	0.002059908
rwc-fenced	0.004	0.269436325	0.001523032
rwc-unfenced	0.004	0.351693358	0.001826241
safe006	0.004	0.282402727	0.001659761
safe012	0.004	0.360508881	0.001895994
safe018	0.004	0.351618087	0.001578034
safe022	0.004	0.002094654	0.002077822
safe024	0.006	0.320230902	0.002130529
safe027	0.006	0.349641652	0.001991783
safe028	0.004	0.288827023	0.002422264
safe036	0.006	0.262367227	0.001290864
sb	0.002	0.316056042	0.00131798
wrc	0.004	0.271170019	0.001574939
Geomean	0.00409810945316	0.192937719537	0.00162946421872
