	litmus7 user	PerpLE (Checker)	PerpLE (Heuristic)	litmus7 Timebase	litmus7 Userfence 	litmus7 None 	litmus7 Pthread
amd10	1.0	3.00703947942	2.94308048386	0.590909090909	1.3	1.3	3.71428571429
amd3	1.0	4.49206349368	4.02949812418	0.564102564103	1.0	1.0	4.4
amd5	1.0	2.50568365117	2.45438966057	0.622222222222	2.0	2.0	4.0
amd5+staleld	1.0	3.12845386894	3.03522558149	0.622222222222	1.27272727273	1.27272727273	4.0
co-iriw	1.0	2.56500446199	2.56490849438	0.479166666667	1.0	1.0	4.6
iriw	1.0	2.91966262664	2.91952438917	0.410714285714	1.0	1.0	2.875
iwp23b	1.0	9.07257835873	8.07275525828	0.461538461538	1.05882352941	1.05882352941	3.6
iwp24	1.0	5.24360986028	4.88412371268	0.710526315789	1.0	1.0	4.5
lb	1.0	3.09559482569	3.00933414431	0.666666666667	1.0	1.0	5.2
mp	1.0	2.20637310872	2.13802398692	0.526315789474	1.05263157895	1.05263157895	3.33333333333
mp+fences	1.0	2.37506279072	2.30091852668	0.560975609756	0.92	0.92	3.83333333333
mp+staleld	1.0	2.43650735929	2.34821449695	0.555555555556	1.17647058824	1.17647058824	4.0
n1	1.0	2.05212805423	1.95254104912	0.454545454545	0.952380952381	0.952380952381	4.0
n4	1.0	2.8861774092	2.72855461641	0.538461538462	0.954545454545	0.954545454545	5.25
n5	1.0	2.64682138808	2.54416858388	0.567567567568	1.05	1.05	7.0
podwr000	1.0	4.92819618163	4.56210434113	0.564102564103	1.375	1.375	4.4
podwr001	1.0	3.33016059851	3.05635933561	0.478260869565	0.916666666667	0.916666666667	3.14285714286
rfi009	1.0	3.74840746746	3.58997538036	0.604651162791	0.962962962963	0.962962962963	3.25
rfi013	1.0	2.62017708303	2.41258470528	0.410256410256	0.615384615385	0.615384615385	2.66666666667
rfi015	1.0	2.38230699577	2.30054136444	0.478260869565	1.1	1.1	3.14285714286
rfi017	1.0	2.17400951168	2.07136939815	0.425	0.607142857143	0.607142857143	2.83333333333
rwc-fenced	1.0	1.79855945665	1.75022052779	0.45652173913	0.954545454545	0.954545454545	3.0
rwc-unfenced	1.0	1.91478617511	1.86711203512	0.454545454545	0.909090909091	0.909090909091	4.0
safe006	1.0	2.12834436801	2.06136004642	0.45	0.692307692308	0.692307692308	3.6
safe007	1.0	0.0818510193868	0.077861416598	0.425531914894	0.909090909091	0.909090909091	2.85714285714
safe012	1.0	2.50018453067	2.42525595407	0.488888888889	0.95652173913	0.95652173913	3.14285714286
safe018	1.0	2.02498845395	1.97310424027	0.488372093023	0.954545454545	0.954545454545	3.5
safe022	1.0	2.4718942679	2.3895247332	0.538461538462	1.05	1.05	5.25
safe024	1.0	1.96699055461	1.90494586811	0.425531914894	0.869565217391	0.869565217391	2.5
safe027	1.0	2.96219919099	2.96205807251	0.428571428571	1.0	1.0	3.0
safe028	1.0	1.72810198057	1.67673265169	0.422222222222	0.826086956522	0.826086956522	2.375
safe036	1.0	3.58390527022	3.48047086047	0.622222222222	1.03703703704	1.03703703704	4.66666666667
sb	1.0	4.33518929698	4.06549476718	0.575	2.3	2.3	3.83333333333
wrc	1.0	2.0632868031	2.0074104033	0.477272727273	0.954545454545	0.954545454545	3.5
Geomean	1.0	2.52463910261	2.42117629263	0.510193003826	1.01443103461	1.01443103461	3.6874753716
