	litmus7	PerpLE (Counter)	PerpLE (Heuristic)
amd10	1.0	0.0186250714023	2.5602752808
amd3	1.0	0.014126757388	3.06131039391
amd5	1.0	0.0125659677968	2.19571988323
amd5+staleld	1.0	0.014018090121	2.13214615435
co-iriw	1.0	0.00881063785878	1.77423291919
iriw	1.0	0.0227649412893	4.04740045587
iwp23b	1.0	3.16162045695	3.15129857136
iwp24	1.0	0.013360283296	4.22617204958
lb	1.0	0.0202681349949	4.6659273764
mp	1.0	1.79342601759	1.8034826151
mp+fences	1.0	2.00191282771	2.01205219263
mp+staleld	1.0	1.80415044811	1.81655517559
n1	1.0	0.00863447515302	1.91428043634
n4	1.0	0.0055083890562	1.17041403982
n5	1.0	0.0133257422798	2.5529351095
podwr000	1.0	0.0067218030855	1.6680274991
podwr001	1.0	1.35800233275e-06	2.33347178599
rfi009	1.0	0.0156258324011	3.6779331977
rfi013	1.0	0.00840748763703	2.64022917189
rfi015	1.0	0.0112776437533	4.06963139314
rfi017	1.0	0.0258494003749	4.85458573878
rwc-fenced	1.0	0.0148458081886	2.62634009003
rwc-unfenced	1.0	0.0113735443363	2.19029142375
safe006	1.0	0.0141641691725	2.40998553406
safe012	1.0	0.0110954270777	2.10971131765
safe018	1.0	0.0113759790747	2.53479963043
safe022	1.0	1.90962325998	1.92509271728
safe024	1.0	0.0187364803413	2.81620198552
safe027	1.0	0.0171604268704	3.01237634823
safe028	1.0	0.0138491196511	1.65134766483
safe036	1.0	0.0228687098942	4.64804967835
sb	1.0	0.00632799166674	1.51747370977
wrc	1.0	0.0147508932394	2.5397809058
Geomean	1.0	0.0212405820023	2.51500426095
