	litmus7	PerpLE (Checker)	PerpLE (Heuristic)
iwp23b	1.0	2.47614849958	2.48801089749
safe022	1.0	3.82419049058	3.82450128503
mp	1.0	2.49490208341	2.50200160128
mp+fences	1.0	2.6836415943	2.69026350593
mp+staleld	1.0	1.46431751089	1.47709905623
co-iriw	1.0	2.08931137551	2.17934529852
safe006	1.0	0.0135966910875	2.39882937127
n5	1.0	0.0165764059949	2.89377599425
amd5	1.0	0.0200809893611	3.07072116501
rwc-unfenced	1.0	0.0152583852284	2.0154981732
iwp24	1.0	0.0186794357696	4.16674652931
amd5+staleld	1.0	0.0215762281145	3.58721445026
lb	1.0	0.0106477305534	1.78049468077
podwr000	1.0	0.0173243982449	3.42490149983
safe036	1.0	0.0137956989425	2.09388564453
sb	1.0	0.0100629705139	1.97141708088
n4	1.0	0.0133950668654	3.07949326938
amd10	1.0	0.0166664045041	2.31291308628
n1	1.0	0.0131661331848	2.50677298726
amd3	1.0	0.0128250744364	3.27725942458
rwc-fenced	1.0	0.0149909880176	1.89626519193
wrc	1.0	0.0146613827278	1.92137428986
rfi015	1.0	0.0142783221536	3.64341994714
rfi009	1.0	0.01306893713	2.39744221685
rfi017	1.0	0.00744941108656	1.30911014111
rfi013	1.0	0.00689065190046	2.41497283156
podwr001	1.0	2.34115890188e-06	3.13406642277
Geomean	1.0	0.0313802293269	2.50949613547
