Iteration 0 	 Th1: 0 Th2: 76
Iteration 1 	 Th1: 0 Th2: 78
Iteration 2 	 Th1: 0 Th2: 79
Iteration 3 	 Th1: 0 Th2: 80
Iteration 4 	 Th1: 0 Th2: 81
Iteration 5 	 Th1: 0 Th2: 82
Iteration 6 	 Th1: 0 Th2: 83
Iteration 7 	 Th1: 0 Th2: 84
Iteration 8 	 Th1: 0 Th2: 85
Iteration 9 	 Th1: 0 Th2: 86
Iteration 10 	 Th1: 0 Th2: 87
Iteration 11 	 Th1: 0 Th2: 88
Iteration 12 	 Th1: 0 Th2: 89
Iteration 13 	 Th1: 0 Th2: 90
Iteration 14 	 Th1: 0 Th2: 91
Iteration 15 	 Th1: 0 Th2: 93
Iteration 16 	 Th1: 0 Th2: 99
Iteration 17 	 Th1: 0 Th2: 108
Iteration 18 	 Th1: 0 Th2: 109
Iteration 19 	 Th1: 0 Th2: 110
Iteration 20 	 Th1: 0 Th2: 117
Iteration 21 	 Th1: 0 Th2: 124
Iteration 22 	 Th1: 0 Th2: 130
Iteration 23 	 Th1: 0 Th2: 140
Iteration 24 	 Th1: 0 Th2: 146
Iteration 25 	 Th1: 0 Th2: 156
Iteration 26 	 Th1: 0 Th2: 162
Iteration 27 	 Th1: 0 Th2: 172
Iteration 28 	 Th1: 0 Th2: 173
Iteration 29 	 Th1: 0 Th2: 184
Iteration 30 	 Th1: 0 Th2: 185
Iteration 31 	 Th1: 0 Th2: 186
Iteration 32 	 Th1: 0 Th2: 188
Iteration 33 	 Th1: 0 Th2: 189
Iteration 34 	 Th1: 0 Th2: 190
Iteration 35 	 Th1: 0 Th2: 191
Iteration 36 	 Th1: 0 Th2: 197
Iteration 37 	 Th1: 0 Th2: 198
Iteration 38 	 Th1: 0 Th2: 200
Iteration 39 	 Th1: 0 Th2: 201
Iteration 40 	 Th1: 0 Th2: 202
Iteration 41 	 Th1: 0 Th2: 204
Iteration 42 	 Th1: 0 Th2: 209
Iteration 43 	 Th1: 0 Th2: 211
Iteration 44 	 Th1: 0 Th2: 216
Iteration 45 	 Th1: 0 Th2: 222
Iteration 46 	 Th1: 0 Th2: 235
Iteration 47 	 Th1: 0 Th2: 236
Iteration 48 	 Th1: 0 Th2: 238
Iteration 49 	 Th1: 0 Th2: 239
Iteration 50 	 Th1: 0 Th2: 240
Iteration 51 	 Th1: 0 Th2: 241
Iteration 52 	 Th1: 0 Th2: 242
Iteration 53 	 Th1: 0 Th2: 243
Iteration 54 	 Th1: 0 Th2: 244
Iteration 55 	 Th1: 0 Th2: 245
Iteration 56 	 Th1: 0 Th2: 246
Iteration 57 	 Th1: 0 Th2: 247
Iteration 58 	 Th1: 0 Th2: 248
Iteration 59 	 Th1: 0 Th2: 249
Iteration 60 	 Th1: 0 Th2: 250
Iteration 61 	 Th1: 0 Th2: 251
Iteration 62 	 Th1: 0 Th2: 252
